Drug	Rank	Score	Type	Path
HEB5161	1	0.3082	"7	3	0.42857142857142855	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16912)"	HEB5161 -> is_associated_with -> GEE18577 -> textmining -> GEE16912 -> candidate_for -> DM06
HEB5161	2	0.2397	"9	3	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16181)"	HEB5161 -> is_associated_with -> GEE19441 -> textmining -> GEE16181 -> candidate_for -> DM06
HEB5161	3	0.2397	"9	3	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16181)"	HEB5161 -> is_associated_with -> GEE16371 -> textmining -> GEE16181 -> candidate_for -> DM06
HEB5161	4	0.2397	"12	4	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression(A,GEE12307)"	HEB5161 -> is_associated_with -> GEE09507 -> coexpression -> GEE12307 -> candidate_for -> DM06
HEB5161	5	0.2055	"7	2	0.2857142857142857	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16641)"	HEB5161 -> is_associated_with -> GEE16922 -> textmining -> GEE16641 -> candidate_for -> DM06
HEB5161	6	0.1984	"10	3	0.3	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE04369)"	HEB5161 -> is_associated_with -> GEE13708 -> covaries -> GEE04369 -> candidate_for -> DM06
HEB5161	7	0.1984	"10	3	0.3	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE04369)"	HEB5161 -> is_associated_with -> GEE02976 -> covaries -> GEE04369 -> candidate_for -> DM06
HEB5161	8	0.1961	"11	3	0.2727272727272727	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE18291)"	HEB5161 -> is_associated_with -> GEE18784 -> homology -> GEE18291 -> candidate_for -> DM06
HEB5161	9	0.1961	"11	3	0.2727272727272727	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE18291)"	HEB5161 -> is_associated_with -> GEE18070 -> homology -> GEE18291 -> candidate_for -> DM06
HEB5161	10	0.1961	"11	3	0.2727272727272727	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE18291)"	HEB5161 -> is_associated_with -> GEE17869 -> homology -> GEE18291 -> candidate_for -> DM06
HEB3348	1	0.2397	"12	4	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression(A,GEE12307)"	HEB3348 -> is_associated_with -> GEE09507 -> coexpression -> GEE12307 -> candidate_for -> DM06
HEB3348	2	0.1918	"15	4	0.26666666666666666	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE15628)"	HEB3348 -> is_associated_with -> GEE12417 -> homology -> GEE15628 -> candidate_for -> DM06
HEB3348	3	0.1798	"16	4	0.25	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE16401)"	HEB3348 -> is_associated_with -> GEE18317 -> homology -> GEE16401 -> candidate_for -> DM06
HEB3348	4	0.1798	"16	4	0.25	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE16401)"	HEB3348 -> is_associated_with -> GEE16808 -> homology -> GEE16401 -> candidate_for -> DM06
HEB3348	5	0.1798	"16	4	0.25	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE16401)"	HEB3348 -> is_associated_with -> GEE16312 -> homology -> GEE16401 -> candidate_for -> DM06
HEB3348	6	0.1798	"16	4	0.25	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE16401)"	HEB3348 -> is_associated_with -> GEE10557 -> homology -> GEE16401 -> candidate_for -> DM06
HEB3348	7	0.1726	"50	12	0.24	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE19540)"	HEB3348 -> is_associated_with -> GEE13667 -> textmining -> GEE19540 -> candidate_for -> DM06
HEB3348	8	0.1654	"44	11	0.25	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE15723)"	HEB3348 -> is_associated_with -> GEE14831 -> covaries -> GEE15723 -> candidate_for -> DM06
HEB3348	9	0.1598	"81	18	0.2222222222222222	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16742)"	HEB3348 -> is_associated_with -> GEE17530 -> textmining -> GEE16742 -> candidate_for -> DM06
HEB3348	10	0.1577	"137	29	0.2116788321167883	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE00736)"	HEB3348 -> is_associated_with -> GEE03969 -> experiments_transferred -> GEE00736 -> candidate_for -> DM06
HEB0006	1	0.1621	"71	16	0.22535211267605634	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE15868)"	HEB0006 -> is_associated_with -> GEE15765 -> homology -> GEE15868 -> candidate_for -> DM06
HEB0006	2	0.1598	"81	18	0.2222222222222222	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16742)"	HEB0006 -> is_associated_with -> GEE18928 -> textmining -> GEE16742 -> candidate_for -> DM06
HEB0006	3	0.1598	"9	2	0.2222222222222222	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression_transferred(A,GEE08412)"	HEB0006 -> is_associated_with -> GEE05871 -> coexpression_transferred -> GEE08412 -> candidate_for -> DM06
HEB0006	4	0.1503	"67	14	0.208955223880597	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16627)"	HEB0006 -> is_associated_with -> GEE15930 -> textmining -> GEE16627 -> candidate_for -> DM06
HEB0006	5	0.1488	"58	12	0.20689655172413793	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE19084)"	HEB0006 -> is_associated_with -> GEE10799 -> textmining -> GEE19084 -> candidate_for -> DM06
HEB0006	6	0.1488	"58	12	0.20689655172413793	candidate_for(X,DM06) <= is_associated_with(X,A), fusion(A,GEE02557)"	HEB0006 -> is_associated_with -> GEE10799 -> fusion -> GEE02557 -> candidate_for -> DM06
HEB0006	7	0.1401	"77	15	0.19480519480519481	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE17512)"	HEB0006 -> is_associated_with -> GEE17693 -> textmining -> GEE17512 -> candidate_for -> DM06
HEB0006	8	0.1294	"92	18	0.1956521739130435	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE02613)"	HEB0006 -> is_associated_with -> GEE10245 -> covaries -> GEE02613 -> candidate_for -> DM06
HEB0006	9	0.1156	"567	88	0.15520282186948853	candidate_for(X,DM06) <= is_associated_with(X,A), experiments(A,GEE09016)"	HEB0006 -> is_associated_with -> GEE04090 -> experiments -> GEE09016 -> candidate_for -> DM06
HEB0006	10	0.1137	"191	34	0.17801047120418848	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DIMM06532)"	HEB0006 -> is_associated_with -> GEE04602 -> is_associated_with -> DIMM06532 -> candidate_for -> DM06
HEB5184	1	0.1349	"256	48	0.1875	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE15052)"	HEB5184 -> is_associated_with -> GEE11375 -> textmining -> GEE15052 -> candidate_for -> DM06
HEB5184	2	0.1323	"261	48	0.1839080459770115	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE17195)"	HEB5184 -> is_associated_with -> GEE11375 -> homology -> GEE17195 -> candidate_for -> DM06
HEB5184	3	0.1269	"170	30	0.17647058823529413	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE10533)"	HEB5184 -> is_associated_with -> GEE04806 -> textmining -> GEE10533 -> candidate_for -> DM06
HEB5184	4	0.1167	"208	38	0.18269230769230768	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP08931)"	HEB5184 -> is_associated_with -> GEE08428 -> is_associated_with -> DCP08931 -> candidate_for -> DM06
HEB5184	5	0.1156	"567	88	0.15520282186948853	candidate_for(X,DM06) <= is_associated_with(X,A), experiments(A,GEE09016)"	HEB5184 -> is_associated_with -> GEE04090 -> experiments -> GEE09016 -> candidate_for -> DM06
HEB5184	6	0.1147	"323	58	0.17956656346749225	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP01744)"	HEB5184 -> is_associated_with -> GEE06534 -> is_associated_with -> DCP01744 -> candidate_for -> DM06
HEB5184	7	0.1137	"191	34	0.17801047120418848	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DIMM06532)"	HEB5184 -> is_associated_with -> GEE04602 -> is_associated_with -> DIMM06532 -> candidate_for -> DM06
HEB5184	8	0.1136	"481	76	0.158004158004158	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10978)"	HEB5184 -> is_associated_with -> GEE05103 -> database -> GEE10978 -> candidate_for -> DM06
HEB5184	9	0.1134	"463	73	0.15766738660907129	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE25384)"	HEB5184 -> is_associated_with -> GEE05103 -> textmining -> GEE25384 -> candidate_for -> DM06
HEB5184	10	0.1111	"53	10	0.18867924528301888	candidate_for(X,DM06) <= includes(X,A), acts_on(A,GEE15482)"	HEB5184 -> includes -> INT05811 -> acts_on -> GEE15482 -> candidate_for -> DM06
HEB5058	1	0.1587	"25	6	0.24	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE05994)"	HEB5058 -> is_associated_with -> GEE06681 -> covaries -> GEE05994 -> candidate_for -> DM06
HEB5058	2	0.1234	"134	23	0.17164179104477612	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE17343)"	HEB5058 -> is_associated_with -> GEE19087 -> homology -> GEE17343 -> candidate_for -> DM06
HEB5058	3	0.1167	"208	38	0.18269230769230768	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP08931)"	HEB5058 -> is_associated_with -> GEE08428 -> is_associated_with -> DCP08931 -> candidate_for -> DM06
HEB5058	4	0.1156	"567	88	0.15520282186948853	candidate_for(X,DM06) <= is_associated_with(X,A), experiments(A,GEE09016)"	HEB5058 -> is_associated_with -> GEE04090 -> experiments -> GEE09016 -> candidate_for -> DM06
HEB5058	5	0.1136	"481	76	0.158004158004158	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10978)"	HEB5058 -> is_associated_with -> GEE05103 -> database -> GEE10978 -> candidate_for -> DM06
HEB5058	6	0.1134	"463	73	0.15766738660907129	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE25384)"	HEB5058 -> is_associated_with -> GEE05103 -> textmining -> GEE25384 -> candidate_for -> DM06
HEB5058	7	0.1110	"535	93	0.17383177570093458	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP03172)"	HEB5058 -> is_associated_with -> GEE05475 -> is_associated_with -> DCP03172 -> candidate_for -> DM06
HEB5058	8	0.1091	"474	81	0.17088607594936708	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP01819)"	HEB5058 -> is_associated_with -> GEE03224 -> is_associated_with -> DCP01819 -> candidate_for -> DM06
HEB5058	9	0.1090	"114	23	0.20175438596491227	candidate_for(X,DM06) <= cure(X,A), indirect_regulation(A,GEE05754)"	HEB5058 -> cure -> ZH200 -> indirect_regulation -> GEE05754 -> candidate_for -> DM06
HEB5058	10	0.1062	"122	24	0.19672131147540983	candidate_for(X,DM06) <= cure(X,A), indirect_regulation(A,GEE13026)"	HEB5058 -> cure -> ZH200 -> indirect_regulation -> GEE13026 -> candidate_for -> DM06
HEB4619	1	0.1377	"256	49	0.19140625	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression(A,GEE03168)"	HEB4619 -> is_associated_with -> GEE13453 -> coexpression -> GEE03168 -> candidate_for -> DM06
HEB4619	2	0.1349	"256	48	0.1875	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE15052)"	HEB4619 -> is_associated_with -> GEE11375 -> textmining -> GEE15052 -> candidate_for -> DM06
HEB4619	3	0.1323	"261	48	0.1839080459770115	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE17195)"	HEB4619 -> is_associated_with -> GEE11375 -> homology -> GEE17195 -> candidate_for -> DM06
HEB4619	4	0.1156	"567	88	0.15520282186948853	candidate_for(X,DM06) <= is_associated_with(X,A), experiments(A,GEE09016)"	HEB4619 -> is_associated_with -> GEE04090 -> experiments -> GEE09016 -> candidate_for -> DM06
HEB4619	5	0.1136	"481	76	0.158004158004158	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10978)"	HEB4619 -> is_associated_with -> GEE05103 -> database -> GEE10978 -> candidate_for -> DM06
HEB4619	6	0.1134	"463	73	0.15766738660907129	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE25384)"	HEB4619 -> is_associated_with -> GEE05103 -> textmining -> GEE25384 -> candidate_for -> DM06
HEB4619	7	0.1110	"535	93	0.17383177570093458	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP03172)"	HEB4619 -> is_associated_with -> GEE05475 -> is_associated_with -> DCP03172 -> candidate_for -> DM06
HEB4619	8	0.1091	"474	81	0.17088607594936708	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP01819)"	HEB4619 -> is_associated_with -> GEE03224 -> is_associated_with -> DCP01819 -> candidate_for -> DM06
HEB4619	9	0.1066	"614	91	0.1482084690553746	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE13675)"	HEB4619 -> is_associated_with -> GEE00903 -> textmining -> GEE13675 -> candidate_for -> DM06
HEB4619	10	0.1062	"420	62	0.14761904761904762	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10477)"	HEB4619 -> is_associated_with -> GEE05679 -> database -> GEE10477 -> candidate_for -> DM06
HEB2834	1	0.1171	"11	2	0.18181818181818182	candidate_for(X,DM06) <= includes(X,A), regulates(A,GEE02471)"	HEB2834 -> includes -> INT00025 -> regulates -> GEE02471 -> candidate_for -> DM06
HEB2834	2	0.0809	"13	2	0.15384615384615385	candidate_for(X,DM06) <= includes(X,A), treats(A,DIMM00497)"	HEB2834 -> includes -> INT00025 -> treats -> DIMM00497 -> candidate_for -> DM06
HEB2834	3	0.0782	"383	54	0.1409921671018277	candidate_for(X,DM06) <= includes(X,A), treats(A,TS1230)"	HEB2834 -> includes -> INT23471 -> treats -> TS1230 -> candidate_for -> DM06
HEB2834	4	0.0720	"322	36	0.11180124223602485	candidate_for(X,DM06) <= includes(X,A), regulates(A,GEE01124)"	HEB2834 -> includes -> INT00025 -> regulates -> GEE01124 -> candidate_for -> DM06
HEB2834	5	0.0656	"532	65	0.12218045112781954	candidate_for(X,DM06) <= includes(X,A), indirect_influence(A,ZH230)"	HEB2834 -> includes -> INT08457 -> indirect_influence -> ZH230 -> candidate_for -> DM06
HEB2834	6	0.0650	"388	47	0.1211340206185567	candidate_for(X,DM06) <= includes(X,A), treats(A,TS2498)"	HEB2834 -> includes -> INT08457 -> treats -> TS2498 -> candidate_for -> DM06
HEB2834	7	0.0641	"514	61	0.11867704280155641	candidate_for(X,DM06) <= includes(X,A), indirect_influence(A,ZH078)"	HEB2834 -> includes -> INT22389 -> indirect_influence -> ZH078 -> candidate_for -> DM06
HEB2834	8	0.0639	"323	40	0.1238390092879257	candidate_for(X,DM06) <= includes(X,A), treats(A,TS2844)"	HEB2834 -> includes -> INT15207 -> treats -> TS2844 -> candidate_for -> DM06
HEB2834	9	0.0639	"696	81	0.11637931034482758	candidate_for(X,DM06) <= includes(X,A), treats(A,TS0993)"	HEB2834 -> includes -> INT17744 -> treats -> TS0993 -> candidate_for -> DM06
HEB2834	10	0.0626	"430	49	0.11395348837209303	candidate_for(X,DM06) <= includes(X,A), treats(A,TS2895)"	HEB2834 -> includes -> INT12798 -> treats -> TS2895 -> candidate_for -> DM06
HEB2050	1	0.1167	"208	38	0.18269230769230768	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP08931)"	HEB2050 -> is_associated_with -> GEE08428 -> is_associated_with -> DCP08931 -> candidate_for -> DM06
HEB2050	2	0.1156	"567	88	0.15520282186948853	candidate_for(X,DM06) <= is_associated_with(X,A), experiments(A,GEE09016)"	HEB2050 -> is_associated_with -> GEE04090 -> experiments -> GEE09016 -> candidate_for -> DM06
HEB2050	3	0.1147	"323	58	0.17956656346749225	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP01744)"	HEB2050 -> is_associated_with -> GEE06534 -> is_associated_with -> DCP01744 -> candidate_for -> DM06
HEB2050	4	0.1134	BFS_PATH	HEB2050 -> is_associated_with -> GEE10973 -> is_associated_with -> DM06
HEB2050	5	0.1110	"535	93	0.17383177570093458	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP03172)"	HEB2050 -> is_associated_with -> GEE05475 -> is_associated_with -> DCP03172 -> candidate_for -> DM06
HEB2050	6	0.1110	BFS_PATH	HEB2050 -> is_associated_with -> GEE10314 -> experiments -> GEE07134 -> is_associated_with -> DM06
HEB2050	7	0.1091	"474	81	0.17088607594936708	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP01819)"	HEB2050 -> is_associated_with -> GEE03224 -> is_associated_with -> DCP01819 -> candidate_for -> DM06
HEB2050	8	0.1066	"614	91	0.1482084690553746	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE13675)"	HEB2050 -> is_associated_with -> GEE00903 -> textmining -> GEE13675 -> candidate_for -> DM06
HEB2050	9	0.1035	BFS_PATH	HEB2050 -> is_associated_with -> GEE13224 -> textmining -> GEE06987 -> is_associated_with -> DM06
HEB2050	10	0.1035	BFS_PATH	HEB2050 -> is_associated_with -> GEE13224 -> database -> GEE06987 -> is_associated_with -> DM06
DCP11264	1	0.2002	"44	15	0.3409090909090909	candidate_for(X,DM06) <= palliates(X,A), associates(A,GEE08269)"	DCP11264 -> palliates -> DIMM00061 -> associates -> GEE08269 -> candidate_for -> DM06
DCP11264	2	0.1878	"34	10	0.29411764705882354	candidate_for(X,DM06) <= binds(X,A), participates(A,GO:0032892)"	DCP11264 -> binds -> GEE08011 -> participates -> GO:0032892 -> candidate_for -> DM06
DCP11264	3	0.1846	"35	11	0.3142857142857143	candidate_for(X,DM06) <= palliates(X,A), is_associated_with(A,GEE09950)"	DCP11264 -> palliates -> DIMM00061 -> is_associated_with -> GEE09950 -> candidate_for -> DM06
DCP11264	4	0.1817	"82	20	0.24390243902439024	candidate_for(X,DM06) <= downregulates(X,A), experiments_transferred(A,GEE10905)"	DCP11264 -> downregulates -> GEE02562 -> experiments_transferred -> GEE10905 -> candidate_for -> DM06
DCP11264	5	0.1798	"36	9	0.25	candidate_for(X,DM06) <= binds(X,A), regulates(A,GEE02062)"	DCP11264 -> binds -> GEE03328 -> regulates -> GEE02062 -> candidate_for -> DM06
DCP11264	6	0.1644	"25	7	0.28	candidate_for(X,DM06) <= treats(X,A), associates(A,GEE14850)"	DCP11264 -> treats -> DIMM00069 -> associates -> GEE14850 -> candidate_for -> DM06
DCP11264	7	0.1571	"87	19	0.21839080459770116	candidate_for(X,DM06) <= binds(X,A), database(A,GEE01749)"	DCP11264 -> binds -> GEE06506 -> database -> GEE01749 -> candidate_for -> DM06
DCP11264	8	0.1476	"111	22	0.1981981981981982	candidate_for(X,DM06) <= downregulates(X,A), experiments_transferred(A,GEE07121)"	DCP11264 -> downregulates -> GEE02562 -> experiments_transferred -> GEE07121 -> candidate_for -> DM06
DCP11264	9	0.1445	"209	42	0.20095693779904306	candidate_for(X,DM06) <= downregulates(X,A), regulates(A,GEE00248)"	DCP11264 -> downregulates -> GEE02562 -> regulates -> GEE00248 -> candidate_for -> DM06
DCP11264	10	0.1444	"129	25	0.1937984496124031	candidate_for(X,DM06) <= downregulates(X,A), experiments(A,GEE05986)"	DCP11264 -> downregulates -> GEE02562 -> experiments -> GEE05986 -> candidate_for -> DM06
DCP04678	1	0.0692	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> is_associated_with -> GEE12807 -> experiments -> GEE07134 -> is_associated_with -> DM06
DCP04678	2	0.0692	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> associates -> GEE12807 -> experiments -> GEE07134 -> is_associated_with -> DM06
DCP04678	3	0.0690	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> associates -> GEE13767 -> is_associated_with -> DM06
DCP04678	4	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> is_associated_with -> GEE13527 -> textmining -> GEE10118 -> is_associated_with -> DM06
DCP04678	5	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> is_associated_with -> GEE12834 -> textmining -> GEE16564 -> is_associated_with -> DM06
DCP04678	6	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> is_associated_with -> GEE12834 -> database -> GEE16564 -> is_associated_with -> DM06
DCP04678	7	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> is_associated_with -> GEE12354 -> textmining -> GEE14022 -> is_associated_with -> DM06
DCP04678	8	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> is_associated_with -> GEE12141 -> textmining -> GEE08245 -> is_associated_with -> DM06
DCP04678	9	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> expresses -> GEE15585 -> textmining -> GEE11025 -> is_associated_with -> DM06
DCP04678	10	0.0656	BFS_PATH	DCP04678 -> treats -> DIMM00003 -> expresses -> GEE13859 -> interacts -> GEE16579 -> is_associated_with -> DM06
DCP12738	1	0.0690	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE14022 -> is_associated_with -> DM06
DCP12738	2	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE15585 -> textmining -> GEE11025 -> is_associated_with -> DM06
DCP12738	3	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE14710 -> textmining -> GEE08031 -> is_associated_with -> DM06
DCP12738	4	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE14062 -> database -> GEE12618 -> is_associated_with -> DM06
DCP12738	5	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE13142 -> textmining -> GEE13767 -> is_associated_with -> DM06
DCP12738	6	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE13083 -> textmining -> GEE12618 -> is_associated_with -> DM06
DCP12738	7	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE12923 -> textmining -> GEE15632 -> is_associated_with -> DM06
DCP12738	8	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE12790 -> homology -> GEE10085 -> is_associated_with -> DM06
DCP12738	9	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE12790 -> homology -> GEE09599 -> is_associated_with -> DM06
DCP12738	10	0.0656	BFS_PATH	DCP12738 -> treats -> DIMM00198 -> is_associated_with -> GEE12790 -> database -> GEE10085 -> is_associated_with -> DM06
DCP10156	1	0.0783	"15	2	0.13333333333333333	candidate_for(X,DM06) <= treats(X,A), is_associated_with(A,GEE17716)"	DCP10156 -> treats -> DIMM15447 -> is_associated_with -> GEE17716 -> candidate_for -> DM06
DCP10156	2	0.0692	BFS_PATH	DCP10156 -> treats -> DIMM15447 -> is_associated_with -> GEE05989 -> experiments -> GEE11508 -> is_associated_with -> DM06
DCP10156	3	0.0692	BFS_PATH	DCP10156 -> treats -> DIMM15447 -> is_associated_with -> GEE05813 -> experiments -> GEE16623 -> is_associated_with -> DM06
