Drug,Experiment,Rank,Score,Source,Path
DCP04678,Exp2_StrongDecay,2,0.0142,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,3,0.0142,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,4,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,5,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,6,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,7,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,8,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,9,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,10,0.0075,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,1,0.0830,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,2,0.0830,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,3,0.0828,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,4,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,5,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,6,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,7,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,8,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,9,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp3_NoBonus,10,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,1,0.4150,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,2,0.4150,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,3,0.0828,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,4,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,5,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,6,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,7,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,8,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,9,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp3_HighBonus,10,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,1,0.1494,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,2,0.1494,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,3,0.0828,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,4,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,5,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,6,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,7,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,8,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,9,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp4_NoISI,10,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
HEB3348,Baseline,1,0.3406,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Baseline,2,0.2877,DFS,HEB3348 -[is_associated_with]-> GEE09507 -[coexpression]-> GEE12307 -[candidate_for]-> DM06
HEB3348,Baseline,3,0.2741,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Baseline,4,0.2741,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Baseline,5,0.2301,DFS,HEB3348 -[is_associated_with]-> GEE12417 -[homology]-> GEE15628 -[candidate_for]-> DM06
HEB3348,Baseline,6,0.2222,DFS,HEB3348 -[is_associated_with]-> GEE14680 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Baseline,7,0.2222,DFS,HEB3348 -[is_associated_with]-> GEE13268 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Baseline,8,0.2222,DFS,HEB3348 -[is_associated_with]-> GEE12337 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Baseline,9,0.2222,DFS,HEB3348 -[is_associated_with]-> GEE12217 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Baseline,10,0.2222,DFS,HEB3348 -[is_associated_with]-> GEE09523 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp1_NoDistinction,1,1.0000,Rule,HEB3348 -[includes]-> INT35972 -[acts_on]-> GEE05285 -[interacts]-> GEE16564 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,2,1.0000,Rule,HEB3348 -[includes]-> INT35972 -[acts_on]-> GEE05285 -[interacts]-> GEE15632 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,3,1.0000,Rule,HEB3348 -[includes]-> INT35972 -[acts_on]-> GEE04772 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,4,1.0000,Rule,HEB3348 -[includes]-> INT35972 -[acts_on]-> GEE04772 -[textmining]-> GEE13767 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,5,1.0000,Rule,HEB3348 -[includes]-> INT35972 -[acts_on]-> GEE04772 -[database]-> GEE14022 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,6,1.0000,Rule,HEB3348 -[includes]-> INT35968 -[treats]-> TS2076 -[is_affected_by]-> GEE20355 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,7,1.0000,Rule,HEB3348 -[includes]-> INT35968 -[treats]-> TS2068 -[is_affected_by]-> GEE20355 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,8,1.0000,Rule,HEB3348 -[includes]-> INT35968 -[treats]-> TS2008 -[is_affected_by]-> GEE21889 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,9,1.0000,Rule,HEB3348 -[includes]-> INT35968 -[treats]-> TS2008 -[is_affected_by]-> GEE21878 -[is_associated_with]-> DM06
HEB3348,Exp1_NoDistinction,10,1.0000,Rule,HEB3348 -[includes]-> INT35968 -[treats]-> TS1695 -[is_affected_by]-> GEE20355 -[is_associated_with]-> DM06
HEB3348,Exp1_StrongDistinction,1,0.0136,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,2,0.0115,DFS,HEB3348 -[is_associated_with]-> GEE09507 -[coexpression]-> GEE12307 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,3,0.0110,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,4,0.0110,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,5,0.0092,DFS,HEB3348 -[is_associated_with]-> GEE12417 -[homology]-> GEE15628 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,6,0.0089,DFS,HEB3348 -[is_associated_with]-> GEE14680 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,7,0.0089,DFS,HEB3348 -[is_associated_with]-> GEE13268 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,8,0.0089,DFS,HEB3348 -[is_associated_with]-> GEE12337 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,9,0.0089,DFS,HEB3348 -[is_associated_with]-> GEE12217 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp1_StrongDistinction,10,0.0089,DFS,HEB3348 -[is_associated_with]-> GEE09523 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,1,0.3784,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,2,0.3196,DFS,HEB3348 -[is_associated_with]-> GEE09507 -[coexpression]-> GEE12307 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,3,0.3046,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,4,0.3046,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,5,0.2557,DFS,HEB3348 -[is_associated_with]-> GEE12417 -[homology]-> GEE15628 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,6,0.2469,DFS,HEB3348 -[is_associated_with]-> GEE14680 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,7,0.2469,DFS,HEB3348 -[is_associated_with]-> GEE13268 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,8,0.2469,DFS,HEB3348 -[is_associated_with]-> GEE12337 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,9,0.2469,DFS,HEB3348 -[is_associated_with]-> GEE12217 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_NoDecay,10,0.2469,DFS,HEB3348 -[is_associated_with]-> GEE09523 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,1,0.1892,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,2,0.1598,DFS,HEB3348 -[is_associated_with]-> GEE09507 -[coexpression]-> GEE12307 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,3,0.1523,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,4,0.1523,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,5,0.1279,DFS,HEB3348 -[is_associated_with]-> GEE12417 -[homology]-> GEE15628 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,6,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE14680 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,7,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE13268 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,8,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE12337 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,9,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE12217 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp2_StrongDecay,10,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE09523 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,1,0.2877,DFS,HEB3348 -[is_associated_with]-> GEE09507 -[coexpression]-> GEE12307 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,2,0.2301,DFS,HEB3348 -[is_associated_with]-> GEE12417 -[homology]-> GEE15628 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,3,0.1892,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,4,0.1523,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,5,0.1523,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,6,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE14680 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,7,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE13268 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,8,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE12337 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,9,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE12217 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_NoBonus,10,0.1234,DFS,HEB3348 -[is_associated_with]-> GEE09523 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,1,0.9461,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,2,0.7615,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,3,0.7615,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,4,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE14680 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,5,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE13268 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,6,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE12337 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,7,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE12217 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,8,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE09523 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,9,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE08700 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp3_HighBonus,10,0.6171,DFS,HEB3348 -[is_associated_with]-> GEE07476 -[experiments_transferred]-> GEE08100 -[candidate_for]-> DM06
HEB3348,Exp4_NoISI,1,0.3452,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE19383 -[candidate_for]-> DM06
HEB3348,Exp4_NoISI,2,0.3452,DFS,HEB3348 -[includes]-> INT05668 -[regulates]-> GEE06639 -[candidate_for]-> DM06
HEB3348,Exp4_NoISI,3,0.3406,DFS,HEB3348 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
HEB3348,Exp4_NoISI,4,0.2877,DFS,HEB3348 -[is_associated_with]-> GEE09507 -[coexpression]-> GEE12307 -[candidate_for]-> DM06
HEB3348,Exp4_NoISI,5,0.2301,DFS,HEB3348 -[is_associated_with]-> GEE12417 -[homology]-> GEE15628 -[candidate_for]-> DM06
HEB3348,Exp4_NoISI,6,0.2235,Rule,HEB3348 -[includes]-> INT35964 -[acts_on]-> GEE20355 -[is_associated_with]-> DM06
HEB3348,Exp4_NoISI,7,0.2235,Rule,HEB3348 -[includes]-> INT35964 -[acts_on]-> GEE20354 -[is_associated_with]-> DM06
HEB3348,Exp4_NoISI,8,0.2235,Rule,HEB3348 -[includes]-> INT35964 -[acts_on]-> GEE20214 -[is_associated_with]-> DM06
HEB3348,Exp4_NoISI,9,0.2235,Rule,HEB3348 -[includes]-> INT35964 -[acts_on]-> GEE20213 -[is_associated_with]-> DM06
HEB3348,Exp4_NoISI,10,0.2235,Rule,HEB3348 -[includes]-> INT35964 -[acts_on]-> GEE20212 -[is_associated_with]-> DM06
HEB5161,Baseline,1,0.3699,DFS,HEB5161 -[is_associated_with]-> GEE18577 -[textmining]-> GEE16912 -[candidate_for]-> DM06
HEB5161,Baseline,2,0.3406,DFS,HEB5161 -[is_associated_with]-> GEE03969 -[experiments_transferred]-> GEE00736 -[candidate_for]-> DM06
